1;2;Albacete
2;3;Alicante/Alacant
3;4;Almerí
4;1;Araba/Álav
5;33;Asturias
6;5;�vila
7;6;Badajoz
8;7;Balears, Illes
9;8;Barcelona
10;48;Bizkaia
11;9;Burgos
12;10;Cácere
13;11;Cádi
14;39;Cantabria
15;12;Castellón/Castell
16;13;Ciudad Real
17;14;Córdob
18;15;Coruña, 
19;16;Cuenca
20;20;Gipuzkoa
21;17;Girona
22;18;Granada
23;19;Guadalajara
24;21;Huelva
25;22;Huesca
26;23;Jaé
27;24;Leó
28;25;Lleida
29;27;Lugo
30;28;Madrid
31;29;Málag
32;30;Murcia
33;31;Navarra
34;32;Ourense
35;34;Palencia
36;35;Palmas, Las
37;36;Pontevedra
38;26;Rioja, La
39;37;Salamanca
40;38;Santa Cruz de Tenerife
41;40;Segovia
42;41;Sevilla
43;42;Soria
44;43;Tarragona
45;44;Teruel
46;45;Toledo
47;46;Valencia/Valènci
48;47;Valladolid
49;49;Zamora
50;50;Zaragoza
51;51;Ceuta
52;52;Melilla
